gene_name,task,celltype,coeff
A2M-AS1,nonProlif_Proliferating,Proliferating,-0.0
ABCB1,nonProlif_Proliferating,Proliferating,-0.0
ABHD17A,nonProlif_Proliferating,Proliferating,-0.0
AC004585.1,nonProlif_Proliferating,Proliferating,-0.0
AC007240.1,nonProlif_Proliferating,Proliferating,-0.0
AC133644.2,nonProlif_Proliferating,Proliferating,-0.0
AC243960.1,nonProlif_Proliferating,Proliferating,-0.0
ACTG1,nonProlif_Proliferating,Proliferating,-0.0
ACTN1,nonProlif_Proliferating,Proliferating,-0.0
ADGRE5,nonProlif_Proliferating,Proliferating,-0.0
ADGRG1,nonProlif_Proliferating,Proliferating,-0.0
AHNAK,nonProlif_Proliferating,Proliferating,-0.0
AIF1,nonProlif_Proliferating,Proliferating,-0.0
AK5,nonProlif_Proliferating,Proliferating,-0.0
AKAP17A,nonProlif_Proliferating,Proliferating,-0.0
AKR1C3,nonProlif_Proliferating,Proliferating,-0.0
ALOX5AP,nonProlif_Proliferating,Proliferating,-0.0
ANK1,nonProlif_Proliferating,Proliferating,-0.0
ANP32B,nonProlif_Proliferating,Proliferating,-0.0
ANP32E,nonProlif_Proliferating,Proliferating,-0.0
ANXA1,nonProlif_Proliferating,Proliferating,-0.0
ANXA2,nonProlif_Proliferating,Proliferating,-0.0
AP002884.1,nonProlif_Proliferating,Proliferating,-0.0
AP3M2,nonProlif_Proliferating,Proliferating,-0.0
APBA2,nonProlif_Proliferating,Proliferating,-0.0
APMAP,nonProlif_Proliferating,Proliferating,-0.0
AQP3,nonProlif_Proliferating,Proliferating,-0.0
ARAP2,nonProlif_Proliferating,Proliferating,-0.0
ARID5B,nonProlif_Proliferating,Proliferating,-0.0
ARL4C,nonProlif_Proliferating,Proliferating,-0.0
ARMH1,nonProlif_Proliferating,Proliferating,-0.0
ARPC1B,nonProlif_Proliferating,Proliferating,-0.0
ARPC5L,nonProlif_Proliferating,Proliferating,-0.0
ATAD2,nonProlif_Proliferating,Proliferating,-0.0
ATP5MF,nonProlif_Proliferating,Proliferating,-0.0
ATXN1,nonProlif_Proliferating,Proliferating,-0.0
AURKB,nonProlif_Proliferating,Proliferating,-0.0
AUTS2,nonProlif_Proliferating,Proliferating,-0.0
B2M,nonProlif_Proliferating,Proliferating,-0.0
BCL11B,nonProlif_Proliferating,Proliferating,-0.0
BEX4,nonProlif_Proliferating,Proliferating,-0.0
BHLHE40,nonProlif_Proliferating,Proliferating,-0.0
BIRC3,nonProlif_Proliferating,Proliferating,-0.0
BTG1,nonProlif_Proliferating,Proliferating,-0.0
C12orf57,nonProlif_Proliferating,Proliferating,-0.0
C12orf75,nonProlif_Proliferating,Proliferating,-0.0
C1orf162,nonProlif_Proliferating,Proliferating,-0.0
C9orf16,nonProlif_Proliferating,Proliferating,-0.0
CALM1,nonProlif_Proliferating,Proliferating,-0.0
CAPG,nonProlif_Proliferating,Proliferating,-0.0
CAPZB,nonProlif_Proliferating,Proliferating,-0.0
CASK,nonProlif_Proliferating,Proliferating,-0.0
CCL3,nonProlif_Proliferating,Proliferating,-0.0
CCL4,nonProlif_Proliferating,Proliferating,-0.0
CCL4L2,nonProlif_Proliferating,Proliferating,-0.0
