celltype,nonProlif_Proliferating,nonNK_NK,CD4CD8_Treg_MAIT,Naive_Eff_Memory,CD4Naive_CD8Naive,CD4TEM_CD8TEM_CD4CTL,CD4TCM_CD8TCM,CD8TermEff_CD8EffMem,CD8TCM1_CD8TCM2_CD8TCM3,CD8TEM2_CD8TEM4_CD8TEM5,CD8TEM1_CD8TEM3_CD8TEM6
CD4 CTL,0,0,0,1,NA,2,NA,NA,NA,NA,NA
CD4 Naive,0,0,0,0,0,NA,NA,NA,NA,NA,NA
CD4 Proliferating,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD4 TCM_1,0,0,0,2,NA,NA,0,NA,NA,NA,NA
CD4 TCM_2,0,0,0,2,NA,NA,0,NA,NA,NA,NA
CD4 TCM_3,0,0,0,2,NA,NA,0,NA,NA,NA,NA
CD4 TEM_1,0,0,0,1,NA,0,NA,NA,NA,NA,NA
CD4 TEM_2,0,0,0,1,NA,0,NA,NA,NA,NA,NA
CD4 TEM_3,0,0,0,1,NA,0,NA,NA,NA,NA,NA
CD4 TEM_4,0,0,0,1,NA,0,NA,NA,NA,NA,NA
CD8 Naive,0,0,0,0,1,NA,NA,NA,NA,NA,NA
CD8 Naive_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD8 Proliferating,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD8 TCM_1,0,0,0,2,NA,NA,1,NA,0,NA,NA
CD8 TCM_2,0,0,0,2,NA,NA,1,NA,1,NA,NA
CD8 TCM_3,0,0,0,2,NA,NA,1,NA,2,NA,NA
CD8 TEM_1,0,0,0,1,NA,1,NA,1,NA,NA,0
CD8 TEM_2,0,0,0,1,NA,1,NA,0,NA,0,NA
CD8 TEM_3,0,0,0,1,NA,1,NA,1,NA,NA,1
CD8 TEM_4,0,0,0,1,NA,1,NA,0,NA,1,NA
CD8 TEM_5,0,0,0,1,NA,1,NA,0,NA,2,NA
CD8 TEM_6,0,0,0,1,NA,1,NA,1,NA,NA,2
MAIT,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA
NK Proliferating,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK_1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK_2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK_3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK_4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NK_CD56bright,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Treg Memory,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
Treg Naive,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
